id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p8_6,p8_7,p8_8,p8_9,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p9_8,p9_9,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p12,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
1240.0,2,38,3,6,50,8,0,7.0,3,3,5.0,13.0,13.0,7.0,3.0,0.0,5.0,19.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,,4.0,2,2,1,2,3,2,2,1,2,2,2.0,,2.0,4.0,,3.0,2.0,,,,,,,,1.0,2,1,1,4.0,0.8797332486453489
1241.0,1,68,6,3,47,14,0,4.0,4,4,10.0,4.0,4.0,9.0,0.0,0.0,10.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2,1,2,2,1,1,1,2,1,2,2.0,,1.0,4.0,4.0,4.0,1.0,3.0,5.0,1.0,5.0,4.0,5.0,2.0,1.0,2,2,5,2.0,1.08186726816133
1242.0,1,52,4,3,9,13,0,4.0,5,3,10.0,6.0,6.0,3.0,0.0,0.0,3.0,6.0,6.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2,2,1,2,2,2,1,2,2,3,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,2,3,4,2.0,0.9499692115046872
1243.0,2,64,5,3,47,14,0,3.0,6,4,10.0,4.0,4.0,7.0,1.0,0.0,8.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3,3,2,3,2,2,1,2,2,3,1.0,4.0,1.0,4.0,4.0,3.0,1.0,1.0,5.0,1.0,4.0,4.0,5.0,1.0,1.0,2,3,5,1.0,0.9224895881544264
1244.0,2,51,4,4,9,13,4,8.0,7,4,10.0,2.0,2.0,0.0,10.0,8.0,0.0,2.0,7.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2,3,2,3,2,3,3,2,3,3,3.0,1.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2,3,4,4.0,1.0544835170160274
1245.0,2,70,6,3,43,12,0,5.0,2,3,9.0,2.0,2.0,0.0,9.0,5.0,0.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2,3,3,3,2,2,1,2,2,3,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,2,1,5,3.0,1.2531242010375654
1246.0,1,40,3,1,30,3,1,2.0,4,2,0.0,19.0,17.0,0.0,0.0,0.0,0.0,19.0,5.0,3.0,2.0,2.0,2.0,,1.0,2.0,2.0,1.0,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,,,,,,1,2,4,1.0,1.2727320790141068
1247.0,1,64,5,3,9,13,0,5.0,4,4,8.0,17.0,17.0,0.0,3.0,0.0,9.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2,2,1,2,2,1,2,3,2,3,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2,2,4,3.0,0.902345949763038
1248.0,1,45,4,3,8,2,2,4.0,6,4,8.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1,1,1,1,1,1,1,1,1,2,2.0,,,4.0,,,4.0,,,,,,,,,2,3,4,2.0,0.9978648228959304
1249.0,1,68,6,3,2,14,4,5.0,7,3,0.0,19.0,17.0,6.0,6.0,0.0,0.0,19.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,2,3,3,3,3,2,3,3,4.0,4.0,4.0,4.0,3.0,3.0,,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2,3,5,3.0,1.352178906427663
1250.0,1,48,4,4,9,13,4,6.0,2,3,10.0,16.0,17.0,1.0,0.0,0.0,0.0,16.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,2,2,2,2,2,2,2,2,3,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2,1,4,4.0,1.0907234980346538
1251.0,2,56,5,5,32,4,4,3.0,4,3,9.0,2.0,2.0,3.0,8.0,1.0,1.0,2.0,8.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2,2,2,2,2,2,2,2,2,2,2.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2,2,4,1.0,0.8186273830145464
1252.0,2,64,5,5,20,17,4,6.0,3,2,10.0,4.0,4.0,9.0,0.0,0.0,9.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1,3,1,3,1,1,1,3,3,3,2.0,4.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,2,1,4,4.0,0.893042696755632
1253.0,2,54,4,6,50,8,0,6.0,1,4,,18.0,17.0,5.0,5.0,0.0,0.0,,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2,2,2,2,2,2,2,2,2,2,3.0,2.0,2.0,3.0,2.0,4.0,3.0,,,,,,,,,2,1,5,4.0,1.0259044690246004
1254.0,2,27,2,1,12,15,0,4.0,1,3,5.0,2.0,2.0,0.0,10.0,0.0,,2.0,5.0,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,,,,,,,4.0,,,,,,,,,1,1,1,2.0,1.566839848711956
1255.0,1,62,5,5,10,17,0,4.0,4,4,10.0,2.0,2.0,0.0,10.0,5.0,0.0,2.0,6.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1,2,1,2,2,1,1,1,2,2,,,,,,,4.0,,,,,,,,,2,2,4,2.0,0.7748700400863333
1256.0,2,36,3,1,8,2,0,4.0,5,4,,,1.0,6.0,,0.0,2.0,19.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2,2,3,2,2,2,3,3,2,2,,3.0,,3.0,,,4.0,,,,,,,,,1,3,4,2.0,0.9228608389769865
1257.0,1,69,6,3,44,13,3,6.0,4,5,10.0,2.0,3.0,0.0,9.0,10.0,0.0,3.0,8.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2,3,2,3,2,2,3,3,2,3,2.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,,4.0,4.0,2,2,5,4.0,1.053381878216165
1258.0,1,24,1,6,30,3,1,4.0,6,4,8.0,3.0,3.0,1.0,5.0,8.0,2.0,3.0,7.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2,2,1,1,2,1,1,1,2,3,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2,3,4,2.0,1.090957035422623
1259.0,2,59,5,3,9,13,4,5.0,4,2,10.0,2.0,2.0,0.0,8.0,5.0,0.0,2.0,8.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1,2,2,2,3,2,2,1,2,2,,,,,,,4.0,,,,,,,,,2,2,1,3.0,0.92444934033337
1260.0,1,22,1,2,49,12,0,6.0,5,4,0.0,19.0,17.0,0.0,0.0,8.0,0.0,19.0,6.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,,1.0,2,3,2,1,2,1,1,1,1,3,3.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2,3,4,4.0,1.2038056401585937
1261.0,1,79,6,6,30,3,4,5.0,4,3,10.0,3.0,3.0,0.0,8.0,10.0,0.0,3.0,8.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2,2,2,2,2,2,2,1,3,3,4.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2,2,5,3.0,0.9563829310789213
1262.0,1,41,3,5,38,6,0,5.0,4,4,10.0,2.0,2.0,0.0,8.0,4.0,0.0,2.0,6.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2,2,1,2,2,2,1,2,1,3,2.0,1.0,2.0,3.0,,3.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2,2,4,3.0,1.256023131062521
1263.0,2,61,5,4,5,1,4,4.0,7,4,10.0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,,,,,,,2.0,,,,,,,,,2,3,4,2.0,0.9317602630133938
1264.0,1,60,5,6,31,7,0,4.0,1,3,10.0,1.0,1.0,9.0,1.0,0.0,9.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2,2,2,2,2,2,2,2,2,3,2.0,2.0,1.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,2,1,1,2.0,1.0712832836240758
1265.0,2,69,6,6,50,8,4,3.0,7,4,0.0,19.0,2.0,2.0,8.0,0.0,0.0,19.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,1,2,1,2,2,1,1,2,2,3,3.0,2.0,,4.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2,3,5,1.0,1.1629683398114246
1266.0,1,60,5,5,36,9,0,4.0,4,3,10.0,1.0,1.0,10.0,0.0,0.0,7.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2,2,1,2,2,2,2,2,2,3,1.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,2,2,5,2.0,0.7797463511723021
1267.0,1,56,5,4,47,14,1,6.0,6,4,10.0,1.0,1.0,9.0,2.0,0.0,6.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2,2,2,2,2,2,2,2,2,3,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,2.0,,2,3,4,4.0,0.8704390543925125
1268.0,1,33,2,5,30,3,1,5.0,4,3,10.0,4.0,4.0,7.0,0.0,0.0,10.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,2.0,2,2,2,1,3,3,1,1,3,3,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,2,2,4,3.0,0.948598052319758
1269.0,1,63,5,3,42,7,4,5.0,3,2,10.0,,,0.0,,0.0,0.0,17.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,2,2,2,2,2,2,2,3,4.0,1.0,4.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,,2,1,5,3.0,0.973962315777806
1270.0,2,21,1,4,13,7,0,6.0,2,3,10.0,2.0,2.0,0.0,10.0,0.0,0.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2,2,1,2,2,2,2,1,3,2,,,,,,,,,,,,,,,,2,1,2,4.0,0.8596447707775122
1271.0,2,67,6,5,37,16,4,6.0,6,3,10.0,2.0,2.0,0.0,8.0,4.0,0.0,2.0,7.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,1,2,1,2,2,2,2,1,2,3,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,2,3,5,4.0,0.8989829506097847
1272.0,2,47,4,1,25,8,3,6.0,3,3,10.0,2.0,2.0,7.0,10.0,1.0,6.0,2.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2,3,3,3,3,2,3,2,3,3,3.0,3.0,,4.0,2.0,,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1,1,1,4.0,1.0368901056098598
1273.0,2,67,6,5,48,12,4,6.0,4,5,9.0,1.0,1.0,8.0,4.0,0.0,8.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,1,2,2,2,2,2,1,2,3,3,3.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,2,2,5,4.0,1.027745216338978
1274.0,2,56,5,1,30,3,0,4.0,4,4,10.0,4.0,4.0,8.0,0.0,0.0,9.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2,2,1,2,2,2,2,1,2,3,3.0,1.0,1.0,4.0,,3.0,,,,,,,,,,1,2,4,2.0,1.0598712163829336
1275.0,2,55,5,5,18,16,3,5.0,3,1,0.0,19.0,2.0,0.0,9.0,8.0,0.0,19.0,8.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,1,1,1,1,3,1,1,1,2,3,4.0,1.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,,1.0,5.0,,2,1,1,3.0,0.8648736785288635
1276.0,1,69,6,3,47,14,0,6.0,4,3,10.0,3.0,3.0,0.0,5.0,10.0,0.0,3.0,10.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1,2,2,1,2,1,2,2,1,3,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2,2,5,4.0,1.08186726816133
1277.0,1,24,1,5,5,1,0,4.0,1,3,9.0,2.0,1.0,8.0,9.0,0.0,0.0,19.0,,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1,1,1,1,1,1,1,1,1,3,4.0,4.0,,4.0,,4.0,3.0,5.0,5.0,5.0,5.0,,,,,2,1,2,2.0,1.2799915956682912
1278.0,2,47,4,4,5,1,3,5.0,6,4,10.0,4.0,4.0,7.0,0.0,0.0,9.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,1,2,2,2,1,1,1,2,,3.0,,3.0,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,4,3.0,0.6838231379577868
1279.0,2,65,6,5,10,17,0,5.0,4,4,5.0,1.0,7.0,4.0,2.0,1.0,2.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,3,2,3,2,2,2,2,2,,,,,,,2.0,,,,,,,,,2,2,5,3.0,0.955390197360427
1280.0,1,32,2,3,10,17,2,6.0,4,4,10.0,7.0,7.0,5.0,1.0,1.0,1.0,7.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,1,1,1,2,2,1,2,2,,2.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,4,4.0,1.0136677466624688
1281.0,2,46,4,1,26,7,3,5.0,4,3,9.0,2.0,2.0,2.0,8.0,7.0,0.0,2.0,6.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2,2,2,2,3,2,2,2,1,2,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1,2,1,3.0,0.930928732188565
1282.0,1,70,6,5,5,1,0,5.0,4,3,10.0,17.0,17.0,0.0,0.0,0.0,0.0,17.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2,2,1,1,2,1,1,1,1,2,1.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,,,,,2,2,5,3.0,0.7756932209480736
1283.0,2,72,6,6,30,3,4,4.0,4,5,10.0,2.0,2.0,0.0,9.0,1.0,0.0,2.0,7.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2,2,2,2,2,2,1,2,2,3,3.0,,,4.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,2,2,5,2.0,1.0101153215173737
1284.0,1,19,1,5,2,14,0,4.0,2,4,0.0,19.0,17.0,0.0,5.0,10.0,5.0,3.0,,3.0,,,,4.0,,,,4.0,1,1,1,1,1,2,1,2,1,3,,,,,,,4.0,4.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0,2,1,1,2.0,1.2067815086951563
1285.0,2,49,4,6,30,3,3,5.0,2,2,10.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2,3,3,3,3,3,2,3,2,3,4.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2,1,3,3.0,0.8528595321271941
1286.0,1,46,4,5,3,7,0,4.0,3,4,10.0,,,5.0,5.0,0.0,2.0,17.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1,1,1,1,1,1,1,1,1,2,3.0,,,4.0,,,,,,,,,,,,2,1,4,2.0,0.9988221332494204
1287.0,1,19,1,4,31,7,0,4.0,5,3,10.0,1.0,1.0,8.0,5.0,0.0,7.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,2,2,2,2,2,1,1,1,3,3,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,,,,,,,2,3,2,2.0,1.039476839782109
1288.0,2,69,6,3,44,13,0,5.0,1,4,10.0,1.0,1.0,10.0,0.0,0.0,8.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3,2,2,2,2,2,1,1,2,2,3.0,,,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2,1,5,3.0,1.5637110084716517
1289.0,1,33,2,6,30,3,1,6.0,5,4,9.0,2.0,2.0,5.0,10.0,5.0,8.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1,1,1,1,1,1,1,2,1,3,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,4,4.0,0.8573075678071556
1290.0,2,47,4,6,30,3,0,6.0,3,5,10.0,4.0,4.0,5.0,0.0,0.0,10.0,4.0,1.0,3.0,3.0,2.0,4.0,,3.0,2.0,3.0,4.0,2,2,2,2,2,1,2,1,1,3,3.0,,,3.0,,3.0,4.0,,,,5.0,5.0,5.0,,,2,1,4,4.0,0.891398635911488
