num,edu
1,Sin estudios o con estudios primarios sin terminar
2,"Primer Grado (Certificado escolar, 1ª etapa de EGB, más o menos hasta los 10 años)"
3,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)"
4,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los
5,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto
6,"Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc."
7,Tercer Grado (Máster)
8,Tercer grado (Doctorado)
99,Otros
